azimuth, elevation, dBi
0, 0, 0
5, 0, -0.05454054458026192
10, 0, -0.21983777126213322
14.999999999999998, 0, -0.50117235596562
20, 0, -0.9082811626241205
25, 0, -1.4571324902625582
29.999999999999996, 0, -2.173431190353087
35, 0, -3.0998751627434302
40, 0, -4.312889814575685
45, 0, -5.968701048312801
50, 0, -8.475439913094885
55, 0, -13.805800788826794
59.99999999999999, 0, -13.477016917132627
65, 0, -9.391788694130094
70, 0, -7.768586183066574
75.00000000000001, 0, -6.974739072233438
80, 0, -6.656005507654098
85, 0, -6.690277899802652
90, 0, -7.041012590548732
95, 0, -7.726521256980377
100, 0, -8.832621882204135
105, 0, -10.595080689277589
110, 0, -13.840300817221943
114.99999999999999, 0, -24.496048412655345
119.99999999999999, 0, -13.524934049040251
125.00000000000001, 0, -11.033611013962432
130, 0, -9.791388359437617
135, 0, -9.15276724600403
140, 0, -8.920425600510448
145.00000000000003, 0, -9.024219066622033
150.00000000000003, 0, -9.456662047559652
155, 0, -10.267070949125783
160, 0, -11.602337837682072
164.99999999999997, 0, -13.898046647692793
170, 0, -19.553745425429177
175.00000000000003, 0, -17.52016602904558
180, 0, -13.605271710099258
185, 0, -17.52016602904549
190, 0, -19.553745425429177
195.00000000000003, 0, -13.89804664769281
200, 0, -11.602337837682084
205, 0, -10.267070949125799
210, 0, -9.45666204755965
215, 0, -9.024219066622031
220, 0, -8.920425600510448
225, 0, -9.15276724600403
229.99999999999997, 0, -9.791388359437617
235, 0, -11.033611013962432
239.99999999999997, 0, -13.524934049040214
245.00000000000003, 0, -24.49604841265551
250.00000000000003, 0, -13.840300817221927
255, 0, -10.59508068927758
260, 0, -8.832621882204135
265, 0, -7.726521256980377
270, 0, -7.041012590548733
275, 0, -6.690277899802652
280, 0, -6.656005507654098
285, 0, -6.974739072233436
290.00000000000006, 0, -7.76858618306658
295, 0, -9.391788694130097
300.00000000000006, 0, -13.477016917132602
305, 0, -13.80580078882681
310, 0, -8.475439913094892
315, 0, -5.968701048312805
320, 0, -4.312889814575689
325, 0, -3.099875162743433
329.99999999999994, 0, -2.1734311903530954
335.00000000000006, 0, -1.4571324902625549
340, 0, -0.9082811626241205
345, 0, -0.50117235596562
350.00000000000006, 0, -0.21983777126213322
355, 0, -0.05454054458026192
360, 0, 0
0, 5, -0.05454054458026192
5, 5, -0.10921799977308416
10, 5, -0.27494096367715337
14.999999999999998, 5, -0.557038919511014
20, 5, -0.9653445699316072
25, 5, -1.5159988979712267
29.999999999999996, 5, -2.235022044732174
35, 5, -3.1657268123714366
40, 5, -4.38588588107664
45, 5, -6.055302198895624
50, 5, -8.595633197635399
55, 5, -14.114912515993385
59.99999999999999, 5, -13.290157487578702
65, 5, -9.345132612607431
70, 5, -7.75101953971416
75.00000000000001, 5, -6.968635625637067
80, 5, -6.655009022244423
85, 5, -6.69101952761869
90, 5, -7.041012590548732
95, 5, -7.723191006876658
100, 5, -8.8220814352727
105, 5, -10.568788244279252
110, 5, -13.764374432613536
114.99999999999999, 5, -25.7345786020295
119.99999999999999, 5, -13.619644153201664
125.00000000000001, 5, -11.085409786674516
130, 5, -9.824289970736274
135, 5, -9.171290221182643
140, 5, -8.923910246922407
145.00000000000003, 5, -9.008399802421119
150.00000000000003, 5, -9.412077296367025
155, 5, -10.17321277626431
160, 5, -11.40796088922395
164.99999999999997, 5, -13.429120910472642
170, 5, -17.442921855390075
175.00000000000003, 5, -22.185492708249015
180, 5, -17.52016602904558
185, 5, -22.18549270824875
190, 5, -17.442921855390075
195.00000000000003, 5, -13.429120910472642
200, 5, -11.407960889223961
205, 5, -10.173212776264313
210, 5, -9.412077296367025
215, 5, -9.008399802421119
220, 5, -8.923910246922407
225, 5, -9.17129022118264
229.99999999999997, 5, -9.824289970736269
235, 5, -11.085409786674516
239.99999999999997, 5, -13.619644153201612
245.00000000000003, 5, -25.73457860202996
250.00000000000003, 5, -13.76437443261352
255, 5, -10.568788244279245
260, 5, -8.8220814352727
265, 5, -7.723191006876658
270, 5, -7.041012590548733
275, 5, -6.69101952761869
280, 5, -6.655009022244423
285, 5, -6.968635625637064
290.00000000000006, 5, -7.751019539714163
295, 5, -9.345132612607438
300.00000000000006, 5, -13.290157487578668
305, 5, -14.114912515993385
310, 5, -8.595633197635404
315, 5, -6.055302198895626
320, 5, -4.385885881076647
325, 5, -3.1657268123714397
329.99999999999994, 5, -2.235022044732179
335.00000000000006, 5, -1.5159988979712247
340, 5, -0.9653445699316072
345, 5, -0.557038919511014
350.00000000000006, 5, -0.27494096367715337
355, 5, -0.10921799977308416
360, 5, -0.05454054458026192
0, 10, -0.21983777126213322
5, 10, -0.27494096367715337
10, 10, -0.44198811767506274
14.999999999999998, 10, -0.7264616382089683
20, 10, -1.1384949867971432
25, 10, -1.6947724545289633
29.999999999999996, 10, -2.422309978587378
35, 10, -3.3663734898804853
40, 10, -4.609052421894211
45, 10, -6.32177931466258
50, 10, -8.97152926951035
55, 10, -15.182446817083283
59.99999999999999, 10, -12.781050598924715
65, 10, -9.210274346930317
70, 10, -7.699642853306808
75.00000000000001, 10, -6.950753456713519
80, 10, -6.652149937891839
85, 10, -6.693265779043985
90, 10, -7.041012590548732
95, 10, -7.713261767680071
100, 10, -8.790766215223488
105, 10, -10.491181531429493
110, 10, -13.544861849344723
114.99999999999999, 10, -45.529891096846015
119.99999999999999, 10, -13.917871606799268
125.00000000000001, 10, -11.2462618148455
130, 10, -9.926929979843685
135, 10, -9.230834318326243
140, 10, -8.939497272282802
145.00000000000003, 10, -8.96899601783447
150.00000000000003, 10, -9.293270056863031
155, 10, -9.924548962653093
160, 10, -10.914942878009551
164.99999999999997, 10, -12.374507178391255
170, 10, -14.500037257550652
175.00000000000003, 10, -17.442921855390075
180, 10, -19.553745425429177
185, 10, -17.44292185539017
190, 10, -14.500037257550652
195.00000000000003, 10, -12.374507178391255
200, 10, -10.914942878009558
205, 10, -9.924548962653096
210, 10, -9.293270056863031
215, 10, -8.96899601783447
220, 10, -8.939497272282802
225, 10, -9.230834318326238
229.99999999999997, 10, -9.926929979843674
235, 10, -11.24626181484549
239.99999999999997, 10, -13.917871606799215
245.00000000000003, 10, -45.529891096846015
250.00000000000003, 10, -13.544861849344723
255, 10, -10.491181531429486
260, 10, -8.790766215223488
265, 10, -7.713261767680073
270, 10, -7.041012590548733
275, 10, -6.693265779043985
280, 10, -6.652149937891839
285, 10, -6.950753456713516
290.00000000000006, 10, -7.699642853306812
295, 10, -9.210274346930326
300.00000000000006, 10, -12.781050598924704
305, 10, -15.182446817083328
310, 10, -8.971529269510356
315, 10, -6.32177931466258
320, 10, -4.609052421894219
325, 10, -3.3663734898804902
329.99999999999994, 10, -2.422309978587382
335.00000000000006, 10, -1.694772454528961
340, 10, -1.1384949867971432
345, 10, -0.7264616382089683
350.00000000000006, 10, -0.44198811767506274
355, 10, -0.27494096367715337
360, 10, -0.21983777126213322
0, 14.999999999999998, -0.50117235596562
5, 14.999999999999998, -0.557038919511014
10, 14.999999999999998, -0.7264616382089683
14.999999999999998, 14.999999999999998, -1.01520152401462
20, 14.999999999999998, -1.4339418368828991
25, 14.999999999999998, -2.000365463851458
29.999999999999996, 14.999999999999998, -2.7433335332371196
35, 14.999999999999998, -3.711774958158088
40, 14.999999999999998, -4.996026883460748
45, 14.999999999999998, -6.790454669329362
50, 14.999999999999998, -9.657594817612773
55, 14.999999999999998, -17.78065381489005
59.99999999999999, 14.999999999999998, -12.06732710786397
65, 14.999999999999998, -9.001226469689726
70, 14.999999999999998, -7.618247362862272
75.00000000000001, 14.999999999999998, -6.922342887312851
80, 14.999999999999998, -6.647812506243822
85, 14.999999999999998, -6.6970797341414725
90, 14.999999999999998, -7.041012590548732
95, 14.999999999999998, -7.696916044233243
100, 14.999999999999998, -8.739575537131092
105, 14.999999999999998, -10.365912566413764
110, 14.999999999999998, -13.203938699827372
114.99999999999999, 14.999999999999998, -23.595394216729346
119.99999999999999, 14.999999999999998, -14.46905600125903
125.00000000000001, 14.999999999999998, -11.533853672846481
130, 14.999999999999998, -10.11155926883244
135, 14.999999999999998, -9.343319350909749
140, 14.999999999999998, -8.98196158843832
145.00000000000003, 14.999999999999998, -8.928114069903017
150.00000000000003, 14.999999999999998, -9.13884387690883
155, 14.999999999999998, -9.598812521851976
160, 14.999999999999998, -10.30590104634996
164.99999999999997, 14.999999999999998, -11.252358802093438
170, 14.999999999999998, -12.374507178391255
175.00000000000003, 14.999999999999998, -13.429120910472642
180, 14.999999999999998, -13.89804664769281
185, 14.999999999999998, -13.429120910472662
190, 14.999999999999998, -12.374507178391255
195.00000000000003, 14.999999999999998, -11.252358802093447
200, 14.999999999999998, -10.305901046349966
205, 14.999999999999998, -9.598812521851979
210, 14.999999999999998, -9.13884387690883
215, 14.999999999999998, -8.928114069903017
220, 14.999999999999998, -8.98196158843832
225, 14.999999999999998, -9.343319350909745
229.99999999999997, 14.999999999999998, -10.111559268832437
235, 14.999999999999998, -11.533853672846481
239.99999999999997, 14.999999999999998, -14.469056001258984
245.00000000000003, 14.999999999999998, -23.595394216729346
250.00000000000003, 14.999999999999998, -13.203938699827358
255, 14.999999999999998, -10.36591256641376
260, 14.999999999999998, -8.739575537131092
265, 14.999999999999998, -7.696916044233243
270, 14.999999999999998, -7.041012590548733
275, 14.999999999999998, -6.6970797341414725
280, 14.999999999999998, -6.647812506243821
285, 14.999999999999998, -6.92234288731285
290.00000000000006, 14.999999999999998, -7.618247362862275
295, 14.999999999999998, -9.00122646968973
300.00000000000006, 14.999999999999998, -12.067327107863953
305, 14.999999999999998, -17.78065381489009
310, 14.999999999999998, -9.657594817612784
315, 14.999999999999998, -6.790454669329362
320, 14.999999999999998, -4.996026883460751
325, 14.999999999999998, -3.711774958158092
329.99999999999994, 14.999999999999998, -2.743333533237125
335.00000000000006, 14.999999999999998, -2.000365463851454
340, 14.999999999999998, -1.4339418368828991
345, 14.999999999999998, -1.01520152401462
350.00000000000006, 14.999999999999998, -0.7264616382089683
355, 14.999999999999998, -0.557038919511014
360, 14.999999999999998, -0.50117235596562
0, 20, -0.9082811626241205
5, 20, -0.9653445699316072
10, 20, -1.1384949867971432
